slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_slack,certified_safe,realized_loss,cert_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,0,aoi_thr=6,0.0,0.0,0.0,0.0,80.0,0,down_left,up_right,1.0,1.0,172.92893218813452,252.92893218813452,327.0710678118655,267.0710678118655,417.5914151239263,299.6880047681278,418.0,299.0,0.8001825803669905,1,2.3432082707262705,0.9713267561112692,0.028673243888730805,2.734301177518505,2.734015433028727,2.231020695894061,3.328707913677946,0.04740433018933038,0.04740433018933038,0.0,0.12807152180777082,2.10294917408629,1,0.00028574448977813915,1,2.86962873407065,0.13561330104192335,0,1,0,20.0,2.0
1,0,0,aoi_thr=6,0.0,0.0,0.0,0.0,80.0,0,down_left,up_right,1.0,1.0,165.85786437626905,245.85786437626905,334.14213562373095,274.14213562373095,415.3165504826682,299.9701741830452,416.0,298.0,2.085351182481925,2,3.2040989372989093,0.9474915640902201,0.052508435909779966,2.9526903026309963,2.9523888896924664,2.4518649286393708,6.384595386622947,0.07834856169272678,0.07834856169272678,0.0,0.159407431125119,2.2924574975142518,1,0.00030141293852992135,1,3.0628853168890164,0.1104964271965501,0,1,0,20.0,2.0
2,0,0,aoi_thr=6,0.0,0.0,0.0,0.0,80.0,0,down_left,up_right,1.0,0.75,158.78679656440357,238.78679656440357,341.2132034355964,281.2132034355964,412.2312399260721,299.5795203309865,414.0,297.0,3.1276888171770216,3,4.328033618168879,0.9231505656886762,0.07684943431132382,3.1604229004358237,3.159918536419315,2.6616560746158915,12.029831990177897,0.12745932812275618,0.12745932812275618,0.0,0.20919511468359084,2.4524609599323006,1,0.0005043640165087737,1,3.2778550688830976,0.11793653246378272,0,1,0,20.0,1.75
3,0,0,aoi_thr=6,0.0,0.0,0.0,0.0,80.0,0,down_left,stay,1.0,0.75,151.7157287525381,231.7157287525381,341.2132034355964,281.2132034355964,409.7695920470223,299.4846475532834,412.0,296.0,4.1373286317756275,4,5.5939699677420505,0.8983151307075367,0.10168486929246336,3.3420689391327754,3.3416404137155733,2.84259262221395,13.453901663304286,0.15266310965724622,0.15266310965724622,0.0,0.23466789682035083,2.607924725393599,1,0.0004285254172020636,1,3.4476081538121846,0.10596774009661111,0,1,0,10.0,1.75
4,0,0,aoi_thr=6,0.0,0.0,0.0,0.0,80.0,0,down_left,stay,1.0,0.75,144.64466094067262,224.64466094067262,341.2132034355964,281.2132034355964,407.264551699771,299.22873437501136,410.0,295.0,5.03635501306534,5,6.953641132529058,0.8733536366904867,0.12664636330951326,3.517070487629629,3.516723306866025,3.01695527460324,17.090391868573956,0.1920787625367343,0.1920787625367343,0.0,0.27458316583684467,2.7423721087663955,1,0.0003471807636041824,1,3.6119510237414305,0.0952277168754058,0,1,0,10.0,1.75
5,0,0,aoi_thr=6,0.0,0.0,0.0,0.0,80.0,0,down_left,stay,1.0,0.75,137.57359312880715,217.57359312880715,341.2132034355964,281.2132034355964,405.02837109222986,299.46207195564006,408.0,294.0,6.218103281072511,6,8.385627585339096,0.8474667572762304,0.15253324272376953,3.6848111521478195,3.6846929299310487,3.184121923445088,18.88992975885206,0.22119585440650333,0.22119585440650333,0.0,0.3040234101409225,2.8800985133041657,1,0.00011822221677082467,1,3.7701551996084888,0.08546226967744013,0,1,0,10.0,1.75
6,1,0,aoi_thr=6,1.0,1.0,0.0,1.0,79.0,1,down_left,stay,1.0,0.75,130.50252531694167,210.50252531694167,341.2132034355964,281.2132034355964,403.28041334853185,298.0324773647641,406.0,293.0,5.720312926904133,7,9.878986537089723,0.8251133497661068,0.1748866502338932,3.844650050023411,3.844690176716096,3.3434460735936358,22.106826102439697,0.2594308219855354,0.2594308219855354,0.0,0.34272940324948836,3.0007166703441475,1,0.0,1,3.9214727031464873,0.07678252643039121,0,1,0,10.0,1.75
7,1,1,aoi_thr=6,1.0,1.0,1.0,2.0,78.0,1,down,stay,1.0,0.75,130.50252531694167,200.50252531694167,341.2132034355964,281.2132034355964,401.6528991982411,296.0069226729327,400.919112334041,296.685514214733,0.9994646780529373,0,0.7973897291472403,0.9945616455577919,0.00543835444220807,3.9996536241864913,3.9997191134962007,3.498283919298244,0.0,0.007973897291472402,0.007973897291472402,0.0,0.08815363626438712,3.410130283033857,1,0.0,1,4.074058572027424,0.07433945853122295,0,1,0,10.0,1.75
8,0,1,aoi_thr=6,0.0,0.0,1.0,2.0,78.0,0,down_left,stay,1.0,0.5,123.4314575050762,193.4314575050762,341.2132034355964,281.2132034355964,399.8701544719788,294.18369701090273,400.8837658353188,295.37708400236977,1.5657523773875197,0,0.5647602927698722,0.9942180159797986,0.005781984020201408,4.147591467127836,4.147037783487513,3.646387112174442,0.0,0.0056476029276987215,0.0056476029276987215,0.0,0.08580407895697571,3.5605830332174664,1,0.0005536836403230438,1,4.243651146966323,0.09661336347881003,0,1,0,10.0,1.5
9,0,0,aoi_thr=6,0.0,0.0,0.0,2.0,78.0,0,down,stay,1.0,0.5,123.4314575050762,183.4314575050762,341.2132034355964,281.2132034355964,397.9738891723635,292.3102899927899,398.0952515676726,294.7434403087721,2.436175135567967,1,1.007378561449749,0.972989091699173,0.027010908300826923,4.292099039148844,4.291439344262298,3.789644031460192,3.565609863059427,0.03546744479285405,0.03546744479285405,0.0,0.11602474363530496,3.673619287824887,1,0.0006596948865453811,1,4.384873160530427,0.09343381626812904,0,1,0,10.0,1.5
