slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,security_margin,1.0,1.0,27,left,left,1.0,0.5,170.0,260.0,310.0,260.0,230.1953836053374,248.5425426560631,230.1953836053374,248.5425426560631,0.0,0,3.8,0.9848,0.0152,0.6830261982689745,0.6830261982689745,2.3143780095271116,1.631351811258137,1,0,0,20.0,1.5
1,1,security_margin,1.0,2.0,26,left,left,1.0,0.5,160.0,260.0,300.0,260.0,224.72696010025575,245.8156041575628,224.72696010025575,245.8156041575628,0.0,0,3.8,0.9848,0.0152,0.8121913699957068,0.8121913699957068,2.3548432485162114,1.5426518785205046,1,0,0,20.0,1.5
2,1,security_margin,1.0,3.0,25,left,left,1.0,0.5,150.0,260.0,290.0,260.0,218.13348953135866,244.59290254315175,218.13348953135866,244.59290254315175,0.0,0,3.8,0.9848,0.0152,0.9103949849217263,0.9103949849217263,2.388326430970797,1.4779314460490707,1,0,0,20.0,1.5
3,1,security_margin,1.0,4.0,24,left,left,1.0,0.5,140.0,260.0,280.0,260.0,213.1468153718195,242.7574876191092,213.1468153718195,242.7574876191092,0.0,0,3.8,0.9848,0.0152,1.0283619949157576,1.0283619949157576,2.4139407009057647,1.385578705990007,1,0,0,20.0,1.5
4,1,security_margin,1.0,5.0,23,left,left,1.0,0.5,130.0,260.0,270.0,260.0,207.51993947061501,241.73868604253798,207.51993947061501,241.73868604253798,0.0,0,3.8,0.9848,0.0152,1.1225361060255061,1.1225361060255061,2.430900232668215,1.308364126642709,1,0,0,20.0,1.5
5,1,security_margin,1.0,6.0,22,left,left,1.0,0.5,120.0,260.0,260.0,260.0,203.27449993275744,239.64122693734782,203.27449993275744,239.64122693734782,0.0,0,3.8,0.9848,0.0152,1.2265261510790435,1.2265261510790435,2.438568155329287,1.2120420042502433,1,0,0,20.0,1.5
6,1,security_margin,1.0,7.0,21,down,left,1.0,0.5,120.0,250.0,250.0,260.0,197.8298091664356,237.35587383010096,197.8298091664356,237.35587383010096,0.0,0,3.8,0.9848,0.0152,1.3015260211609057,1.3015260211609057,2.553993996226349,1.2524679750654435,1,0,0,20.0,1.5
7,1,security_margin,1.0,8.0,20,down,left,1.0,0.5,120.0,240.0,240.0,260.0,192.1909087324959,235.3771251494934,192.1909087324959,235.3771251494934,0.0,0,3.8,0.9848,0.0152,1.3813032905518439,1.3813032905518439,2.6730716841547304,1.2917683936028865,1,0,0,20.0,1.5
8,1,security_margin,1.0,9.0,19,down,left,1.0,0.5,120.0,230.0,230.0,260.0,186.69797455673546,233.84555916592703,186.69797455673546,233.84555916592703,0.0,0,3.8,0.9848,0.0152,1.474403202253039,1.474403202253039,2.7951976132382694,1.3207944109852305,1,0,0,20.0,1.5
9,1,security_margin,1.0,10.0,18,down,left,1.0,0.5,120.0,220.0,220.0,260.0,181.41039969700847,231.56239351477555,181.41039969700847,231.56239351477555,0.0,0,3.8,0.9848,0.0152,1.5774892691522706,1.5774892691522706,2.919495741500019,1.3420064723477485,1,0,0,20.0,1.5
